team,match_date,comp,stage,HAN,vs,gd,xgd,attendance
Chelsea,9/2/2023,Premier League,Matchweek 4,H,Nott'ham Forest,-1,1.5,39820
Nott'ham Forest,9/2/2023,Premier League,Matchweek 4,A,Chelsea,1,-1.5,39820
Brighton,9/2/2023,Premier League,Matchweek 4,H,Newcastle Utd,2,0.1,31620
Newcastle Utd,9/2/2023,Premier League,Matchweek 4,A,Brighton,-2,-0.1,31620
Everton,9/2/2023,Premier League,Matchweek 4,A,Sheffield Utd,0,1.3,31124
Sheffield Utd,9/2/2023,Premier League,Matchweek 4,H,Everton,0,-1.3,31124
Burnley,9/2/2023,Premier League,Matchweek 4,H,Tottenham,-3,-0.9,21750
Tottenham,9/2/2023,Premier League,Matchweek 4,A,Burnley,3,0.9,21750
Bournemouth,9/2/2023,Premier League,Matchweek 4,A,Brentford,0,-0.8,16973
Brentford,9/2/2023,Premier League,Matchweek 4,H,Bournemouth,0,0.8,16973
Arsenal,9/3/2023,Premier League,Matchweek 4,H,Manchester Utd,2,1.4,60192
Manchester Utd,9/3/2023,Premier League,Matchweek 4,A,Arsenal,-2,-1.4,60192
Aston Villa,9/3/2023,Premier League,Matchweek 4,A,Liverpool,-3,-1.8,50109
Liverpool,9/3/2023,Premier League,Matchweek 4,H,Aston Villa,3,1.8,50109
Crystal Palace,9/3/2023,Premier League,Matchweek 4,H,Wolves,1,0.9,24741
Wolves,9/3/2023,Premier League,Matchweek 4,A,Crystal Palace,-1,-0.9,24741
Brighton,9/16/2023,Premier League,Matchweek 5,A,Manchester Utd,2,0.7,73592
Manchester Utd,9/16/2023,Premier League,Matchweek 5,H,Brighton,-2,-0.7,73592
Manchester City,9/16/2023,Premier League,Matchweek 5,A,West Ham,2,2.7,62475
West Ham,9/16/2023,Premier League,Matchweek 5,H,Manchester City,-2,-2.7,62475
Sheffield Utd,9/16/2023,Premier League,Matchweek 5,A,Tottenham,-1,-1.4,61706
Tottenham,9/16/2023,Premier League,Matchweek 5,H,Sheffield Utd,1,1.4,61706
Brentford,9/16/2023,Premier League,Matchweek 5,A,Newcastle Utd,-1,-0.9,51670
Newcastle Utd,9/16/2023,Premier League,Matchweek 5,H,Brentford,1,0.9,51670
Aston Villa,9/16/2023,Premier League,Matchweek 5,H,Crystal Palace,2,1.8,40809
Crystal Palace,9/16/2023,Premier League,Matchweek 5,A,Aston Villa,-2,-1.8,40809
Liverpool,9/16/2023,Premier League,Matchweek 5,A,Wolves,2,1.9,31257
Wolves,9/16/2023,Premier League,Matchweek 5,H,Liverpool,-2,-1.9,31257
Fulham,9/16/2023,Premier League,Matchweek 5,H,Luton Town,1,-0.1,24467
Luton Town,9/16/2023,Premier League,Matchweek 5,A,Fulham,-1,0.1,24467
Arsenal,9/17/2023,Premier League,Matchweek 5,A,Everton,1,0.7,39217
Everton,9/17/2023,Premier League,Matchweek 5,H,Arsenal,-1,-0.7,39217
Bournemouth,9/17/2023,Premier League,Matchweek 5,H,Chelsea,0,-0.8,10421
Chelsea,9/17/2023,Premier League,Matchweek 5,A,Bournemouth,0,0.8,10421
Burnley,9/18/2023,Premier League,Matchweek 5,A,Nott'ham Forest,0,-0.2,28958
Nott'ham Forest,9/18/2023,Premier League,Matchweek 5,H,Burnley,0,0.2,28958
Newcastle Utd,9/19/2023,Champions Lg,Group stage,A,Milan,0,-1.6,65695
Manchester City,9/19/2023,Champions Lg,Group stage,H,Red Star,2,3.3,50204
Manchester Utd,9/20/2023,Champions Lg,Group stage,A,Bayern Munich,-1,-0.5,75000
Arsenal,9/20/2023,Champions Lg,Group stage,H,PSV Eindhoven,4,1.8,58860
West Ham,9/21/2023,Europa Lg,Group stage,H,TSC Bačka Top,2,1.7,41374
Brighton,9/21/2023,Europa Lg,Group stage,H,AEK Athens,-1,1.4,30178
Aston Villa,9/21/2023,Conf Lg,Group stage,A,Legia Warsaw,-1,-0.2,27801
Liverpool,9/21/2023,Europa Lg,Group stage,A,LASK,2,1.9,18091
Manchester City,9/23/2023,Premier League,Matchweek 6,H,Nott'ham Forest,2,0.3,53413
Nott'ham Forest,9/23/2023,Premier League,Matchweek 6,A,Manchester City,-2,-0.3,53413
Crystal Palace,9/23/2023,Premier League,Matchweek 6,H,Fulham,0,-0.3,25072
Fulham,9/23/2023,Premier League,Matchweek 6,A,Crystal Palace,0,0.3,25072
Burnley,9/23/2023,Premier League,Matchweek 6,H,Manchester Utd,-1,0.1,21593
Manchester Utd,9/23/2023,Premier League,Matchweek 6,A,Burnley,1,-0.1,21593
Brentford,9/23/2023,Premier League,Matchweek 6,H,Everton,-2,-0.9,16981
Everton,9/23/2023,Premier League,Matchweek 6,A,Brentford,2,0.9,16981
Luton Town,9/23/2023,Premier League,Matchweek 6,H,Wolves,0,1.5,10893
Wolves,9/23/2023,Premier League,Matchweek 6,A,Luton Town,0,-1.5,10893
Arsenal,9/24/2023,Premier League,Matchweek 6,H,Tottenham,0,0.4,60156
Tottenham,9/24/2023,Premier League,Matchweek 6,A,Arsenal,0,-0.4,60156
Liverpool,9/24/2023,Premier League,Matchweek 6,H,West Ham,2,1.9,50136
West Ham,9/24/2023,Premier League,Matchweek 6,A,Liverpool,-2,-1.9,50136
Aston Villa,9/24/2023,Premier League,Matchweek 6,A,Chelsea,1,-0.3,39700
Chelsea,9/24/2023,Premier League,Matchweek 6,H,Aston Villa,-1,0.3,39700
Bournemouth,9/24/2023,Premier League,Matchweek 6,A,Brighton,-2,-0.8,31617
Brighton,9/24/2023,Premier League,Matchweek 6,H,Bournemouth,2,0.8,31617
Newcastle Utd,9/24/2023,Premier League,Matchweek 6,A,Sheffield Utd,8,3,31127
Sheffield Utd,9/24/2023,Premier League,Matchweek 6,H,Newcastle Utd,-8,-3,31127
Crystal Palace,9/26/2023,EFL Cup,Third round,A,Manchester Utd,-3,0,72842
Manchester Utd,9/26/2023,EFL Cup,Third round,H,Crystal Palace,3,0,72842
Wolves,9/26/2023,EFL Cup,Third round,A,Ipswich Town,-1,0,20236
Luton Town,9/26/2023,EFL Cup,Third round,A,Exeter City,-1,0,7360
Burnley,9/26/2023,EFL Cup,Third round,A,Salford City,4,0,3305
Manchester City,9/27/2023,EFL Cup,Third round,A,Newcastle Utd,-1,0,51692
Newcastle Utd,9/27/2023,EFL Cup,Third round,H,Manchester City,1,0,51692
Liverpool,9/27/2023,EFL Cup,Third round,H,Leicester City,2,0,49732
Brighton,9/27/2023,EFL Cup,Third round,A,Chelsea,-1,0,37516
Chelsea,9/27/2023,EFL Cup,Third round,H,Brighton,1,0,37516
Aston Villa,9/27/2023,EFL Cup,Third round,H,Everton,-1,0,23851
Everton,9/27/2023,EFL Cup,Third round,A,Aston Villa,1,0,23851
Arsenal,9/27/2023,EFL Cup,Third round,A,Brentford,1,0,16688
Brentford,9/27/2023,EFL Cup,Third round,H,Arsenal,-1,0,16688
Fulham,9/27/2023,EFL Cup,Third round,H,Norwich City,1,0,12831
Bournemouth,9/27/2023,EFL Cup,Third round,H,Stoke City,2,0,10282
West Ham,9/27/2023,EFL Cup,Third round,A,Lincoln City,1,0,10168
Crystal Palace,9/30/2023,Premier League,Matchweek 7,A,Manchester Utd,1,-0.4,73428
Manchester Utd,9/30/2023,Premier League,Matchweek 7,H,Crystal Palace,-1,0.4,73428
Sheffield Utd,9/30/2023,Premier League,Matchweek 7,A,West Ham,-2,-1,62459
West Ham,9/30/2023,Premier League,Matchweek 7,H,Sheffield Utd,2,1,62459
Liverpool,9/30/2023,Premier League,Matchweek 7,A,Tottenham,-1,-0.9,62001
Tottenham,9/30/2023,Premier League,Matchweek 7,H,Liverpool,1,0.9,62001
Burnley,9/30/2023,Premier League,Matchweek 7,A,Newcastle Utd,-2,-2.5,51687
Newcastle Utd,9/30/2023,Premier League,Matchweek 7,H,Burnley,2,2.5,51687
Aston Villa,9/30/2023,Premier League,Matchweek 7,H,Brighton,5,-0.1,40636
Brighton,9/30/2023,Premier League,Matchweek 7,A,Aston Villa,-5,0.1,40636
Everton,9/30/2023,Premier League,Matchweek 7,H,Luton Town,-1,2,39289
Luton Town,9/30/2023,Premier League,Matchweek 7,A,Everton,1,-2,39289
Manchester City,9/30/2023,Premier League,Matchweek 7,A,Wolves,-1,0.5,31415
Wolves,9/30/2023,Premier League,Matchweek 7,H,Manchester City,1,-0.5,31415
Arsenal,9/30/2023,Premier League,Matchweek 7,A,Bournemouth,4,2.8,11193
Bournemouth,9/30/2023,Premier League,Matchweek 7,H,Arsenal,-4,-2.8,11193
Brentford,10/1/2023,Premier League,Matchweek 7,A,Nott'ham Forest,0,1.1,29004
Nott'ham Forest,10/1/2023,Premier League,Matchweek 7,H,Brentford,0,-1.1,29004
Chelsea,10/2/2023,Premier League,Matchweek 7,A,Fulham,2,0.6,24445
Fulham,10/2/2023,Premier League,Matchweek 7,H,Chelsea,-2,-0.6,24445
Manchester Utd,10/3/2023,Champions Lg,Group stage,H,Galatasaray,-1,-0.3,73204
Arsenal,10/3/2023,Champions Lg,Group stage,A,Lens,-1,0.8,37040
Burnley,10/3/2023,Premier League,Matchweek 2,A,Luton Town,1,-0.2,10918
Luton Town,10/3/2023,Premier League,Matchweek 2,H,Burnley,-1,0.2,10918
Newcastle Utd,10/4/2023,Champions Lg,Group stage,H,Paris S-G,3,0,52009
Manchester City,10/4/2023,Champions Lg,Group stage,A,RB Leipzig,2,1.7,45228
Brighton,10/5/2023,Europa Lg,Group stage,A,Marseille,0,1.1,63465
Liverpool,10/5/2023,Europa Lg,Group stage,H,Union SG,2,1.8,49513
Aston Villa,10/5/2023,Conf Lg,Group stage,H,Zrinjski Mostar,1,1.2,37327
West Ham,10/5/2023,Europa Lg,Group stage,A,Freiburg,1,-0.5,34100
Brentford,10/7/2023,Premier League,Matchweek 8,A,Manchester Utd,-1,-0.5,73453
Manchester Utd,10/7/2023,Premier League,Matchweek 8,H,Brentford,1,0.5,73453
Bournemouth,10/7/2023,Premier League,Matchweek 8,A,Everton,-3,-1.7,38815
Everton,10/7/2023,Premier League,Matchweek 8,H,Bournemouth,3,1.7,38815
Crystal Palace,10/7/2023,Premier League,Matchweek 8,H,Nott'ham Forest,0,-0.2,25017
Nott'ham Forest,10/7/2023,Premier League,Matchweek 8,A,Crystal Palace,0,0.2,25017
Fulham,10/7/2023,Premier League,Matchweek 8,H,Sheffield Utd,2,1.6,24361
Sheffield Utd,10/7/2023,Premier League,Matchweek 8,A,Fulham,-2,-1.6,24361
Burnley,10/7/2023,Premier League,Matchweek 8,H,Chelsea,-3,-1.2,21654
Chelsea,10/7/2023,Premier League,Matchweek 8,A,Burnley,3,1.2,21654
Luton Town,10/7/2023,Premier League,Matchweek 8,H,Tottenham,-1,-1.1,10290
Tottenham,10/7/2023,Premier League,Matchweek 8,A,Luton Town,1,1.1,10290
Newcastle Utd,10/8/2023,Premier League,Matchweek 8,A,West Ham,0,0.8,62473
West Ham,10/8/2023,Premier League,Matchweek 8,H,Newcastle Utd,0,-0.8,62473
Arsenal,10/8/2023,Premier League,Matchweek 8,H,Manchester City,1,-0.1,60233
Manchester City,10/8/2023,Premier League,Matchweek 8,A,Arsenal,-1,0.1,60233
Brighton,10/8/2023,Premier League,Matchweek 8,H,Liverpool,0,0,31752
Liverpool,10/8/2023,Premier League,Matchweek 8,A,Brighton,0,0,31752
Aston Villa,10/8/2023,Premier League,Matchweek 8,A,Wolves,0,-0.1,31425
Wolves,10/8/2023,Premier League,Matchweek 8,H,Aston Villa,0,0.1,31425
Brighton,10/21/2023,Premier League,Matchweek 9,A,Manchester City,-1,0,53466
Manchester City,10/21/2023,Premier League,Matchweek 9,H,Brighton,1,0,53466
Crystal Palace,10/21/2023,Premier League,Matchweek 9,A,Newcastle Utd,-4,-1.2,52189
Newcastle Utd,10/21/2023,Premier League,Matchweek 9,H,Crystal Palace,4,1.2,52189
Everton,10/21/2023,Premier League,Matchweek 9,A,Liverpool,-2,-2.1,50201
Liverpool,10/21/2023,Premier League,Matchweek 9,H,Everton,2,2.1,50201
Arsenal,10/21/2023,Premier League,Matchweek 9,A,Chelsea,0,-0.3,39723
Chelsea,10/21/2023,Premier League,Matchweek 9,H,Arsenal,0,0.3,39723
Manchester Utd,10/21/2023,Premier League,Matchweek 9,A,Sheffield Utd,1,-0.3,31543
Sheffield Utd,10/21/2023,Premier League,Matchweek 9,H,Manchester Utd,-1,0.3,31543
Luton Town,10/21/2023,Premier League,Matchweek 9,A,Nott'ham Forest,0,-1.2,29361
Nott'ham Forest,10/21/2023,Premier League,Matchweek 9,H,Luton Town,0,1.2,29361
Brentford,10/21/2023,Premier League,Matchweek 9,H,Burnley,3,2,17029
Burnley,10/21/2023,Premier League,Matchweek 9,A,Brentford,-3,-2,17029
Bournemouth,10/21/2023,Premier League,Matchweek 9,H,Wolves,-1,-1.8,11175
Wolves,10/21/2023,Premier League,Matchweek 9,A,Bournemouth,1,1.8,11175
Aston Villa,10/22/2023,Premier League,Matchweek 9,H,West Ham,3,0.8,41734
West Ham,10/22/2023,Premier League,Matchweek 9,A,Aston Villa,-3,-0.8,41734
Fulham,10/23/2023,Premier League,Matchweek 9,A,Tottenham,-2,-0.5,61286
Tottenham,10/23/2023,Premier League,Matchweek 9,H,Fulham,2,0.5,61286
Manchester Utd,10/24/2023,Champions Lg,Group stage,H,FC Copenhagen,1,-0.2,73249
Arsenal,10/24/2023,Champions Lg,Group stage,A,Sevilla,1,1.1,39595
Newcastle Utd,10/25/2023,Champions Lg,Group stage,H,Dortmund,-1,-0.7,52024
Manchester City,10/25/2023,Champions Lg,Group stage,A,Young Boys,2,3.8,31500
Liverpool,10/26/2023,Europa Lg,Group stage,H,Toulouse,4,1.8,49338
West Ham,10/26/2023,Europa Lg,Group stage,A,Olympiacos,-1,0.1,30623
Brighton,10/26/2023,Europa Lg,Group stage,H,Ajax,2,1.1,30540
Aston Villa,10/26/2023,Conf Lg,Group stage,A,AZ Alkmaar,3,0.7,16633
Crystal Palace,10/27/2023,Premier League,Matchweek 10,H,Tottenham,-1,-0.5,25074
Tottenham,10/27/2023,Premier League,Matchweek 10,A,Crystal Palace,1,0.5,25074
Arsenal,10/28/2023,Premier League,Matchweek 10,H,Sheffield Utd,5,2.8,60153
Sheffield Utd,10/28/2023,Premier League,Matchweek 10,A,Arsenal,-5,-2.8,60153
Brentford,10/28/2023,Premier League,Matchweek 10,A,Chelsea,2,0.3,39575
Chelsea,10/28/2023,Premier League,Matchweek 10,H,Brentford,-2,-0.3,39575
Newcastle Utd,10/28/2023,Premier League,Matchweek 10,A,Wolves,0,1.3,31584
Wolves,10/28/2023,Premier League,Matchweek 10,H,Newcastle Utd,0,-1.3,31584
Bournemouth,10/28/2023,Premier League,Matchweek 10,H,Burnley,1,0.3,11152
Burnley,10/28/2023,Premier League,Matchweek 10,A,Bournemouth,-1,-0.3,11152
Manchester City,10/29/2023,Premier League,Matchweek 10,A,Manchester Utd,3,3.1,73502
Manchester Utd,10/29/2023,Premier League,Matchweek 10,H,Manchester City,-3,-3.1,73502
Everton,10/29/2023,Premier League,Matchweek 10,A,West Ham,1,0.1,62469
West Ham,10/29/2023,Premier League,Matchweek 10,H,Everton,-1,-0.1,62469
Liverpool,10/29/2023,Premier League,Matchweek 10,H,Nott'ham Forest,3,2.8,50143
Nott'ham Forest,10/29/2023,Premier League,Matchweek 10,A,Liverpool,-3,-2.8,50143
Aston Villa,10/29/2023,Premier League,Matchweek 10,H,Luton Town,2,1.8,41785
Luton Town,10/29/2023,Premier League,Matchweek 10,A,Aston Villa,-2,-1.8,41785
Brighton,10/29/2023,Premier League,Matchweek 10,H,Fulham,0,0.7,31550
Fulham,10/29/2023,Premier League,Matchweek 10,A,Brighton,0,-0.7,31550
Manchester Utd,11/1/2023,EFL Cup,Fourth round,H,Newcastle Utd,-3,0,72484
Newcastle Utd,11/1/2023,EFL Cup,Fourth round,A,Manchester Utd,3,0,72484
Arsenal,11/1/2023,EFL Cup,Fourth round,A,West Ham,-2,0,62154
West Ham,11/1/2023,EFL Cup,Fourth round,H,Arsenal,2,0,62154
Chelsea,11/1/2023,EFL Cup,Fourth round,H,Blackburn,2,0,39548
Burnley,11/1/2023,EFL Cup,Fourth round,A,Everton,-3,0,38841
Everton,11/1/2023,EFL Cup,Fourth round,H,Burnley,3,0,38841
Fulham,11/1/2023,EFL Cup,Fourth round,A,Ipswich Town,2,0,28221
Bournemouth,11/1/2023,EFL Cup,Fourth round,H,Liverpool,-1,0,11116
Liverpool,11/1/2023,EFL Cup,Fourth round,A,Bournemouth,1,0,11116
Bournemouth,11/4/2023,Premier League,Matchweek 11,A,Manchester City,-5,-1,53358
Manchester City,11/4/2023,Premier League,Matchweek 11,H,Bournemouth,5,1,53358
Arsenal,11/4/2023,Premier League,Matchweek 11,A,Newcastle Utd,-1,-0.4,52194
Newcastle Utd,11/4/2023,Premier League,Matchweek 11,H,Arsenal,1,0.4,52194
Brighton,11/4/2023,Premier League,Matchweek 11,A,Everton,0,-0.2,38683
Everton,11/4/2023,Premier League,Matchweek 11,H,Brighton,0,0.2,38683
Sheffield Utd,11/4/2023,Premier League,Matchweek 11,H,Wolves,1,-0.2,29454
Wolves,11/4/2023,Premier League,Matchweek 11,A,Sheffield Utd,-1,0.2,29454
Fulham,11/4/2023,Premier League,Matchweek 11,H,Manchester Utd,-1,0.3,24415
Manchester Utd,11/4/2023,Premier League,Matchweek 11,A,Fulham,1,-0.3,24415
Burnley,11/4/2023,Premier League,Matchweek 11,H,Crystal Palace,-2,-0.2,21578
Crystal Palace,11/4/2023,Premier League,Matchweek 11,A,Burnley,2,0.2,21578
Brentford,11/4/2023,Premier League,Matchweek 11,H,West Ham,1,-0.3,17103
West Ham,11/4/2023,Premier League,Matchweek 11,A,Brentford,-1,0.3,17103
Aston Villa,11/5/2023,Premier League,Matchweek 11,A,Nott'ham Forest,-2,0.8,29313
Nott'ham Forest,11/5/2023,Premier League,Matchweek 11,H,Aston Villa,2,-0.8,29313
Liverpool,11/5/2023,Premier League,Matchweek 11,A,Luton Town,0,1.8,11049
Luton Town,11/5/2023,Premier League,Matchweek 11,H,Liverpool,0,-1.8,11049
Chelsea,11/6/2023,Premier League,Matchweek 11,A,Tottenham,3,3.2,61726
Tottenham,11/6/2023,Premier League,Matchweek 11,H,Chelsea,-3,-3.2,61726
Newcastle Utd,11/7/2023,Champions Lg,Group stage,A,Dortmund,-2,-0.8,81365
Manchester City,11/7/2023,Champions Lg,Group stage,H,Young Boys,3,3.4,51049
Arsenal,11/8/2023,Champions Lg,Group stage,H,Sevilla,2,1.5,60024
Manchester Utd,11/8/2023,Champions Lg,Group stage,A,FC Copenhagen,-1,0.8,36099
West Ham,11/9/2023,Europa Lg,Group stage,H,Olympiacos,1,0.9,55811
Brighton,11/9/2023,Europa Lg,Group stage,A,Ajax,2,0.3,52095
Aston Villa,11/9/2023,Conf Lg,Group stage,H,AZ Alkmaar,1,0.7,35156
Liverpool,11/9/2023,Europa Lg,Group stage,A,Toulouse,-1,0.1,32026
Luton Town,11/11/2023,Premier League,Matchweek 12,A,Manchester Utd,-1,-1.8,73599
Manchester Utd,11/11/2023,Premier League,Matchweek 12,H,Luton Town,1,1.8,73599
Arsenal,11/11/2023,Premier League,Matchweek 12,H,Burnley,2,1.5,60232
Burnley,11/11/2023,Premier League,Matchweek 12,A,Arsenal,-2,-1.5,60232
Tottenham,11/11/2023,Premier League,Matchweek 12,A,Wolves,-1,-1.4,31642
Wolves,11/11/2023,Premier League,Matchweek 12,H,Tottenham,1,1.4,31642
Crystal Palace,11/11/2023,Premier League,Matchweek 12,H,Everton,-1,0.7,25103
Everton,11/11/2023,Premier League,Matchweek 12,A,Crystal Palace,1,-0.7,25103
Bournemouth,11/11/2023,Premier League,Matchweek 12,H,Newcastle Utd,2,1.9,11201
Newcastle Utd,11/11/2023,Premier League,Matchweek 12,A,Bournemouth,-2,-1.9,11201
Nott'ham Forest,11/12/2023,Premier League,Matchweek 12,A,West Ham,-1,-0.1,62470
West Ham,11/12/2023,Premier League,Matchweek 12,H,Nott'ham Forest,1,0.1,62470
Brentford,11/12/2023,Premier League,Matchweek 12,A,Liverpool,-3,-0.1,50151
Liverpool,11/12/2023,Premier League,Matchweek 12,H,Brentford,3,0.1,50151
Aston Villa,11/12/2023,Premier League,Matchweek 12,H,Fulham,2,2.1,41608
Fulham,11/12/2023,Premier League,Matchweek 12,A,Aston Villa,-2,-2.1,41608
Chelsea,11/12/2023,Premier League,Matchweek 12,H,Manchester City,0,0,39532
Manchester City,11/12/2023,Premier League,Matchweek 12,A,Chelsea,0,0,39532
Brighton,11/12/2023,Premier League,Matchweek 12,H,Sheffield Utd,0,0.4,31367
Sheffield Utd,11/12/2023,Premier League,Matchweek 12,A,Brighton,0,-0.4,31367
Liverpool,11/25/2023,Premier League,Matchweek 13,A,Manchester City,0,-0.7,53289
Manchester City,11/25/2023,Premier League,Matchweek 13,H,Liverpool,0,0.7,53289
Chelsea,11/25/2023,Premier League,Matchweek 13,A,Newcastle Utd,-3,-1.9,52227
Newcastle Utd,11/25/2023,Premier League,Matchweek 13,H,Chelsea,3,1.9,52227
Bournemouth,11/25/2023,Premier League,Matchweek 13,A,Sheffield Utd,2,2.1,30208
Sheffield Utd,11/25/2023,Premier League,Matchweek 13,H,Bournemouth,-2,-2.1,30208
Brighton,11/25/2023,Premier League,Matchweek 13,A,Nott'ham Forest,1,-0.6,29404
Nott'ham Forest,11/25/2023,Premier League,Matchweek 13,H,Brighton,-1,0.6,29404
Burnley,11/25/2023,Premier League,Matchweek 13,H,West Ham,-1,0.4,21319
West Ham,11/25/2023,Premier League,Matchweek 13,A,Burnley,1,-0.4,21319
Arsenal,11/25/2023,Premier League,Matchweek 13,A,Brentford,1,0.5,17201
Brentford,11/25/2023,Premier League,Matchweek 13,H,Arsenal,-1,-0.5,17201
Crystal Palace,11/25/2023,Premier League,Matchweek 13,A,Luton Town,-1,0.7,11029
Luton Town,11/25/2023,Premier League,Matchweek 13,H,Crystal Palace,1,-0.7,11029
Aston Villa,11/26/2023,Premier League,Matchweek 13,A,Tottenham,1,-0.6,61679
Tottenham,11/26/2023,Premier League,Matchweek 13,H,Aston Villa,-1,0.6,61679
Everton,11/26/2023,Premier League,Matchweek 13,H,Manchester Utd,-3,0.2,39257
Manchester Utd,11/26/2023,Premier League,Matchweek 13,A,Everton,3,-0.2,39257
Fulham,11/27/2023,Premier League,Matchweek 13,H,Wolves,1,1.5,24366
Wolves,11/27/2023,Premier League,Matchweek 13,A,Fulham,-1,-1.5,24366
Manchester City,11/28/2023,Champions Lg,Group stage,H,RB Leipzig,1,1.3,51402
Newcastle Utd,11/28/2023,Champions Lg,Group stage,A,Paris S-G,0,-3.1,46435
Arsenal,11/29/2023,Champions Lg,Group stage,H,Lens,6,2.2,59987
Manchester Utd,11/29/2023,Champions Lg,Group stage,A,Galatasaray,0,0.1,51733
Liverpool,11/30/2023,Europa Lg,Group stage,H,LASK,4,2.6,49666
Aston Villa,11/30/2023,Conf Lg,Group stage,H,Legia Warsaw,1,1.2,37866
Brighton,11/30/2023,Europa Lg,Group stage,A,AEK Athens,1,-0.3,30520
West Ham,11/30/2023,Europa Lg,Group stage,A,TSC Bačka Top,1,-0.1,4256
Arsenal,12/2/2023,Premier League,Matchweek 14,H,Wolves,1,2.1,60262
Wolves,12/2/2023,Premier League,Matchweek 14,A,Arsenal,-1,-2.1,60262
Manchester Utd,12/2/2023,Premier League,Matchweek 14,A,Newcastle Utd,-1,-1.9,52214
Newcastle Utd,12/2/2023,Premier League,Matchweek 14,H,Manchester Utd,1,1.9,52214
Everton,12/2/2023,Premier League,Matchweek 14,A,Nott'ham Forest,1,0,29404
Nott'ham Forest,12/2/2023,Premier League,Matchweek 14,H,Everton,-1,0,29404
Burnley,12/2/2023,Premier League,Matchweek 14,H,Sheffield Utd,5,1.4,21478
Sheffield Utd,12/2/2023,Premier League,Matchweek 14,A,Burnley,-5,-1.4,21478
Brentford,12/2/2023,Premier League,Matchweek 14,H,Luton Town,2,2.9,17075
Luton Town,12/2/2023,Premier League,Matchweek 14,A,Brentford,-2,-2.9,17075
Crystal Palace,12/3/2023,Premier League,Matchweek 14,A,West Ham,0,-0.2,62414
West Ham,12/3/2023,Premier League,Matchweek 14,H,Crystal Palace,0,0.2,62414
Manchester City,12/3/2023,Premier League,Matchweek 14,H,Tottenham,0,2.1,53473
Tottenham,12/3/2023,Premier League,Matchweek 14,A,Manchester City,0,-2.1,53473
Fulham,12/3/2023,Premier League,Matchweek 14,A,Liverpool,-1,-0.9,50124
Liverpool,12/3/2023,Premier League,Matchweek 14,H,Fulham,1,0.9,50124
Brighton,12/3/2023,Premier League,Matchweek 14,A,Chelsea,-1,-1,39647
Chelsea,12/3/2023,Premier League,Matchweek 14,H,Brighton,1,1,39647
Aston Villa,12/3/2023,Premier League,Matchweek 14,A,Bournemouth,0,-1.3,11191
Bournemouth,12/3/2023,Premier League,Matchweek 14,H,Aston Villa,0,1.3,11191
Burnley,12/5/2023,Premier League,Matchweek 15,A,Wolves,-1,0.1,30439
Wolves,12/5/2023,Premier League,Matchweek 15,H,Burnley,1,-0.1,30439
Arsenal,12/5/2023,Premier League,Matchweek 15,A,Luton Town,1,1.7,11031
Luton Town,12/5/2023,Premier League,Matchweek 15,H,Arsenal,-1,-1.7,11031
Chelsea,12/6/2023,Premier League,Matchweek 15,A,Manchester Utd,-1,-2.6,73607
Manchester Utd,12/6/2023,Premier League,Matchweek 15,H,Chelsea,1,2.6,73607
Aston Villa,12/6/2023,Premier League,Matchweek 15,H,Manchester City,1,1.7,41421
Manchester City,12/6/2023,Premier League,Matchweek 15,A,Aston Villa,-1,-1.7,41421
Brentford,12/6/2023,Premier League,Matchweek 15,A,Brighton,-1,0,31571
Brighton,12/6/2023,Premier League,Matchweek 15,H,Brentford,1,0,31571
Liverpool,12/6/2023,Premier League,Matchweek 15,A,Sheffield Utd,2,0.7,31406
Sheffield Utd,12/6/2023,Premier League,Matchweek 15,H,Liverpool,-2,-0.7,31406
Bournemouth,12/6/2023,Premier League,Matchweek 15,A,Crystal Palace,2,0.8,25078
Crystal Palace,12/6/2023,Premier League,Matchweek 15,H,Bournemouth,-2,-0.8,25078
Fulham,12/6/2023,Premier League,Matchweek 15,H,Nott'ham Forest,5,2.2,24105
Nott'ham Forest,12/6/2023,Premier League,Matchweek 15,A,Fulham,-5,-2.2,24105
Tottenham,12/7/2023,Premier League,Matchweek 15,H,West Ham,-1,-0.4,61171
West Ham,12/7/2023,Premier League,Matchweek 15,A,Tottenham,1,0.4,61171
Everton,12/7/2023,Premier League,Matchweek 15,H,Newcastle Utd,3,1.8,38198
Newcastle Utd,12/7/2023,Premier League,Matchweek 15,A,Everton,-3,-1.8,38198
Bournemouth,12/9/2023,Premier League,Matchweek 16,A,Manchester Utd,3,0.4,73427
Manchester Utd,12/9/2023,Premier League,Matchweek 16,H,Bournemouth,-3,-0.4,73427
Arsenal,12/9/2023,Premier League,Matchweek 16,A,Aston Villa,-1,0.8,42000
Aston Villa,12/9/2023,Premier League,Matchweek 16,H,Arsenal,1,-0.8,42000
Nott'ham Forest,12/9/2023,Premier League,Matchweek 16,A,Wolves,0,0.1,31543
Wolves,12/9/2023,Premier League,Matchweek 16,H,Nott'ham Forest,0,-0.1,31543
Brighton,12/9/2023,Premier League,Matchweek 16,H,Burnley,0,2,31511
Burnley,12/9/2023,Premier League,Matchweek 16,A,Brighton,0,-2,31511
Brentford,12/9/2023,Premier League,Matchweek 16,A,Sheffield Utd,-1,-0.2,28509
Sheffield Utd,12/9/2023,Premier League,Matchweek 16,H,Brentford,1,0.2,28509
Crystal Palace,12/9/2023,Premier League,Matchweek 16,H,Liverpool,-1,0.5,25103
