team,stadium_name,lat,long,capacity
Hellas Verona,Stadio Marcantonio Bentegodi,45.435356,10.968647,31045
Hertha BSC,Berlin Olympic Stadium,52.51472222,13.23944444,74475
HJK,Helsinki Olympic Stadium,60.18689398,24.92606242,42062
Hoffenheim,PreZero-Arena,49.239,8.888278,30150
Huddersfield,Kirklees Stadium,53.65416667,-1.768333333,24500
Inter,Giuseppe Meazza Stadium,45.47805556,9.123888888,75817
Juventud Torremolinos CF,Estadio Municipal El Pozuelo,36.62,-4.5,3000
Juventus,Juventus Stadium,45.109594,7.641247,41507
Köln,RheinEnergie Stadion,50.933611,6.875,46195
Kaiserslautern,Fritz Walter Stadium,49.434444,7.775833,49780
Kortrijk,Guldensporen Stadion,50.830278,3.248889,9399
Las Palmas,Estadio Gran Canaria,28.1,-15.45,32400
LASK,Linzer Stadion,48.293333,14.276389,18000
Lazio,Stadio Olimpico,41.93388889,12.45472222,70634
Le Havre,Stade Océane,49.49976,0.17164,33000
Lecce,Stadio Via del Mare,40.365278,18.208889,31461
Leeds United,Elland Road,53.77777778,-1.572222222,37792
Leicester City,Leicester City Stadium,52.62027778,-1.142222222,32261
Lens,Stade Bollaert-Delelis,50.4329,2.81491,38058
Leverkusen,BayArena,51.03825556,7.002205555,30210
Lille,Pierre Mauroy Stadium,50.611962,3.130631,50000
Linares Dep,Estadio Municipal de Linarejos,38.102995,-3.622964,10000
Lincoln City,Sincil Bank,53.218289,-0.540811,10120
Liverpool,Anfield,53.43083333,-2.960833333,61000
Lorient,Stade du Moustoir,47.74869,-3.36929,19010
Ludogorets,Ludogorets Arena,43.53361111,26.5275,9000
Luton Town,Kenilworth Road,51.88416667,-0.431666666,12000
Lyon,Parc Olympique Lyonnais,45.765224,4.982131,59286
Maccabi Haifa,Sammy Ofer Stadium,32.78311111,34.96516667,30942
Mainz 05,Mewa Arena,49.984167,8.224167,34034
Mallorca,Estadi Mallorca Son Moix,39.59,2.63,26020
Malmö,Malm� stadion,55.58611111,12.98916667,26500
Manchester City,Etihad Stadium,53.48305556,-2.200277777,55017
Manchester Utd,Old Trafford,53.46305556,-2.291388888,75731
Marítimo,Estadio do Maritimo,32.645,-16.92,10932
Marseille,Stade V�lodrome,43.269241,5.394907,67394
Mechelen,Oscar Vankesbeeck Stadion,51.0375,4.471667,13687
Metz,Stade Saint-Symphorien,49.109945,6.159532,26671
Midtjylland,MCH Arena,56.11666667,8.95166667,11809
Milan,Giuseppe Meazza Stadium,45.47805556,9.123888888,75817
Molde,Aker Stadion,62.73341,7.14813,11800
Monaco,Stade Louis II,43.727778,7.415556,18523
Montpellier,Stade de la Mosson,43.62061,3.81279,32900
Monza,Stadio Brianteo,45.582778,9.308056,17102
Moreirense,Parque de Jogos Comendador Joaquim de Almeida Freitas,41.378089,-8.354761,6100
Nantes,Stade de la Beaujoire,47.2561,-1.52466,37473
Napoli,Stadio Diego Armando Maradona,40.827967,14.193008,55000
NEC Nijmegen,Goffertstadion,51.82,5.837,12500
Newcastle Utd,St James Park,54.97555556,-1.621666666,52305
Nice,Allianz Riviera,43.70513,7.19262,36178
Norwich City,Carrow Road,52.62222222,1.309166666,27244
Nott'ham Forest,City Ground,52.94,-1.132778,30602
OH Leuven,Den Dreef,50.868333,4.694167,9493
Olympiacos,GSP Stadium,35.114542,33.362864,22709
Oostende,Albertpark,51.216667,2.886389,8125
Osasuna,El Sadar Stadium,42.796667,-1.636944,23576
Paços,Estadio da Mata Real,41.27,-8.38,9077
Paderborn 07,Home Deluxe Arena,51.731389,8.710833,15000
Panathinaikos,Apostolos Nikolaidis Stadium,37.987,23.75,16003
Paris S-G,Parc des Princes,48.84145,2.25305,47930
Parma,Stadio Ennio Tardini,44.79491667,10.33844444,22352
Portimonense,Estadio Municipal de Portimao,37.135694,-8.539833,9544
Porto,Estádio do Dragão,41.161758,-8.583933,50431
Preußen Münster,Preu�enstadion,51.929722,7.624583,45000
PSV Eindhoven,Philips Stadion,51.4417,5.4674,36500
Qarabağ,Azersun Arena,40.42,49.99,5800
R.F.C. Seraing,Stade du Pairay,50.6004,5.50372,14328
Rangers,Ibrox Stadium,55.85305556,-4.309166666,50987
Rayo Vallecano,Campo de Fútbol de Vallecas,40.391944,-3.658961,14708
RB Leipzig,Red Bull Arena,51.345833,12.348056,42000
RB Salzburg,Red Bull Arena,47.81625,12.99822222,31895
Reading,Madejski Stadium,51.42222222,-0.982777777,24161
Real Madrid,Santiago Bernabéu Stadium,40.45306,-3.68835,81044
Real Sociedad,Anoeta Stadium,43.301378,-1.973617,39313
Red Star,Stade de Paris,48.9061,2.34105,8000
Reims,Stade Auguste Delaune,49.24716,4.02478,21684
Rennes,Roazhon Park,48.10743,-1.71282,31127
Rio Ave,Estádio do Rio Ave FC,41.362756,-8.740186,12815
RKC Waalwijk,Mandemakers Stadion,51.686944,5.088611,7500
RKS Raków,Rakow Czestochowa,50.7767,19.1592,5500
Roma,Stadio Olimpico,41.93388889,12.45472222,70634
Saarbrücken,Ludwigsparkstadion,49.2475,6.984167,35303
Salernitana,Stadio Arechi,40.645,14.823889,37245
Sampdoria,Stadio Luigi Ferraris,44.416431,8.952428,36598
Sandhausen,Hardtwaldstadion,49.332083,8.647667,12100
Santa Clara,Estadio de Sao Miguel,37.76,-25.623,13277
Sassuolo,Mapei Stadium - Citt� del Tricolore,44.714722,10.649722,21525
Schalke 04,Arena AufSchalke,51.55450278,7.067588888,62271
Servette FC,Stade de Geneve,46.177778,6.1275,30084
Sevilla,Ramón Sánchez Pizjuán Stadium,37.383878,-5.970467,45500
Shakhtar,Donbass Arena,48.020833,37.809722,52518
Sheffield Utd,Bramall Lane,53.37027778,-1.470833333,32702
Sheriff Tiraspol,Sheriff Stadium,46.838333,29.5575,14300
Sint-Truiden,Stayen,50.813611,5.165278,11250
Slavia Prague,Fortuna Arena,50.0675,14.4715,20800
Southampton,St Mary's Stadium,50.90583333,-1.39111111,32589
Sparta Prague,Letna Stadium,50.099716,14.416122,19416
Sparta R'dam,Sparta Stadion Het Kasteel,51.919444,4.433333,11026
Spezia,Stadio Alberto Picco,44.102222,9.808611,11676
Sporting CP,Estádio José Alvalade (1956),38.7628177,-9.1586173,75200
Standard Liège,Stade Maurice Dufrasne,50.609908,5.543344,30023
Strasbourg,Stade de la Meinau,48.55942,7.75738,26109
Sturm Graz,Merkur Arena,47.046111,15.454444,15400
Stuttgart,MHPArena,48.792222,9.231944,60441
Torino,Stadio Olimpico Grande Torino,45.041667,7.65,28177
Tottenham,Tottenham Hotspur Stadium,51.60444444,-0.066388888,62062
Toulouse,Stadium Municipal,43.583296,1.434055,33150
TSC Bačka Top,TSC Arena,45.815,19.62,4500
TSV Schott Mainz,Mewa Arena,49.984167,8.224167,34034
Twente,De Grolsch Veste,52.23666667,6.8375,30000
Udinese,Stadio Friuli,46.081603,13.200136,25312
Union Berlin,Friedrich-Ludwig-Jahn-Sportpark,52.543056,13.405278,19708
Union SG,Stadion am Hermann-Lons-Weg,51.1601,6.98789,16000
Unionistas Sal,Reina Sofia,40.408,-3.69,4980
US Thionville Lusitanos,Stade de la Plaine,49.37,6.16,1500
Utrecht,Stadion Galgenwaard,52.07833333,5.145833333,23750
Valencia,Mestalla Stadium,39.474722,-0.358333,50000
Valladolid,Estadio Nuevo Jos� Zorrilla,41.644444,-4.761111,26512
Velarde CF,Complejo Deportivo La Maruca,43.427,-3.85,2350
Viktoria Köln,Sportpark Höhenberg,50.9452,7.03039,8343
Viktoria Plzeň,Doosan Arena,49.75,13.385556,11700
Villarreal,Estadio de la Cerámica,39.944167,-0.103611,24891
Vitória,Estádio do Bonfim,38.53138889,-8.89111111,18694
Vitesse,GelreDome,51.9625,5.893056,21000
Vizela,Est�dio do FC Vizela,41.389,-8.31,2000
Volendam,Kras Stadion,52.494444,5.066389,6200
Werder Bremen,Weserstadion,53.066389,8.8375,42500
West Ham,London Stadium,51.53861111,-0.016388888,62500
Westerlo,Het Kuipje,51.094722,4.928333,7982
Wolfsburg,Volkswagen Arena,52.431944,10.803889,30000
Wolves,Molineux Stadium,52.59027778,-2.130277777,32050
Young Boys,Stadion Wankdorf,46.962778,7.465,32000
Zulte Waregem,Regenboogstadion,50.883056,3.428889,10200
Hibernian,Easter Road,55.961666666,-3.165555555,20421
Legia Warsaw,Polish Army Stadium,52.220461,21.040628,31106
Zrinjski Mostar,Stadion pod Bijelim Brijegom,43.345556,17.795278,9000
Middlesbrough,Riverside Stadium,54.578333333,-1.216944444,34742
AFC Wimbledon,Kingsmeadow,51.405083333,-0.281944444,4850
Blackburn,Ewood Park,53.728611111,-2.489166666,31367
Preston,Deepdale,53.772222222,-2.688055555,24500
Sunderland,Stadium of Light,54.9144,-1.3882,48339
Wigan Athletic,DW Stadium,53.547778,-2.653889,25133
Newport County,Rodney Parade,51.588333,-2.987778,9097
Coventry City,Ricoh Arena,52.448056,-1.495556,32609
Plymouth Argyle,Home Park,50.388055555,-4.150833333,17900
Stoke City,Britannia Stadium,52.988333333,-2.175555555,27740
Swansea City,Parc y Scarlets,51.679167,-4.129167,14870
QPR,Kiyan Prince Foundation Stadium,51.509166666,-0.232222222,18439
Ipswich Town,Portman Road,52.055061111,1.144830555,30311
Rotherham Utd,New York Stadium,53.4279,-1.362,12021
Blackpool,Bloomfield Road,53.804722,-3.048056,17338
West Brom,The Hawthorns,52.509166666,-1.963888888,26445
Doncaster,Keepmoat Stadium,53.509722,-1.113889,15231
Gillingham,Priestfield Stadium,51.384166666,0.560833333,11582
Exeter City,St James Park,50.730713888,-3.52115,8541
Bolton,Toughsheet Community Stadium,53.580555555,-2.535555555,28723
Salford City,Moor Lane,53.513638888,-2.276777777,5108
